special_info,
start_time,1015.361712
omega,2.0
amplitude,0.0
phase/pi,0.0
freq,fft_angle,fft_position
5.175110183848867,(0.7778943485577773-1.0184865336718225j),0j
5.207454622497922,(0.21933506751659776-0.9406264125436945j),0j
5.239799061146978,(0.7135862697477795-1.319109900194174j),0j
5.272143499796033,(0.2202086897352164-0.6808169173779013j),0j
5.304487938445089,(1.9901367987199963-1.6883546972518642j),0j
5.336832377094144,(0.7852293414984485-3.04902243094826j),0j
5.3691768157432,(-0.18027088479277353-2.2245714190362054j),0j
5.401521254392255,(-0.847473818480863-1.3308335974680476j),0j
5.43386569304131,(-0.5912127261881419-0.29687662657438585j),0j
5.4662101316903655,(0.3310606973469098-0.512367366954124j),0j
5.4985545703394205,(0.3821870928144229-0.766539685928672j),0j
5.530899008988476,(0.6425088958478016-1.0712082866980062j),0j
5.563243447637531,(0.6276022365476313-1.1510711833239373j),0j
5.595587886286587,(1.5467025371075325-0.6306784404130111j),0j
5.627932324935642,(0.4091281409301528-0.9037991061284592j),0j
5.660276763584698,(1.6890155952249137-2.037779554398346j),0j
5.692621202233753,(0.4615466842016331-1.0132998052503237j),0j
5.724965640882809,(0.9288858095533732-1.8961343869001754j),0j
5.757310079531864,(0.9339441052566175-1.1751761582868856j),0j
5.78965451818092,(0.2362992869125905-1.5615511680377656j),0j
5.821998956829975,(-0.05224880175762231-0.7755299686596984j),0j
5.85434339547903,(0.8857501802588481-1.00977947828487j),0j
5.886687834128086,(0.9329839698367863-1.3620847332398531j),0j
5.919032272777141,(0.1204843427080895-2.0086893486042428j),0j
5.951376711426197,(0.173622579596665-1.0421997762816526j),0j
5.983721150075252,(0.15320479480189952-0.4331084707042123j),0j
6.016065588724308,(0.39245611985052076+0.007422733575433549j),0j
6.048410027373363,(2.1356767496614135-0.5814723545185805j),0j
6.080754466022419,(1.7675006755302147-1.3996679004062287j),0j
6.113098904671474,(0.6424158178105951-2.0798063923848154j),0j
6.1454433433205296,(1.2839253424737604-2.096273281519232j),0j
6.177787781969585,(0.48156318485532956-1.1889724206560723j),0j
6.21013222061864,(-0.0007306117561010073-1.614668186174678j),0j
6.2424766592676955,(1.2508342118592353-0.5139573302674756j),0j
6.2748210979167505,(0.7065088064049077-1.4876377324777912j),0j
6.307165536565806,(0.050160647678443304-0.22906172135566472j),0j
6.339509975214861,(0.8664516812729797-0.2446900774909173j),0j
6.371854413863917,(1.754187589492628-0.835494874524495j),0j
6.404198852512972,(0.42374223397171873-0.7480133446114802j),0j
6.436543291162028,(1.6433531297868162-1.5238997833406402j),0j
6.468887729811083,(0.571216974488943-0.9440920021106933j),0j
6.501232168460139,(0.5339454923322307-0.5244438942835092j),0j
6.533576607109194,(1.738422963259687-1.049173813157529j),0j
6.56592104575825,(1.0905795919846608-1.6069728849815839j),0j
6.598265484407305,(0.4431560051169857-1.3125044945452111j),0j
6.63060992305636,(1.381870486360298-0.46834855930635855j),0j
6.662954361705416,(0.8932066859263559-1.1132310412117232j),0j
6.695298800354471,(1.632642685563722-0.952444985384009j),0j
6.727643239003527,(0.3081181404578727-1.6174073108545715j),0j
6.759987677652582,(0.3962075699967918-0.9097798742731639j),0j
6.792332116301638,(1.2566241097139594-0.8418624874046022j),0j
6.824676554950693,(0.6666247594473514+0.18562629073485337j),0j
6.857020993599749,(2.4152651636915063-0.9786242459692025j),0j
6.889365432248804,(0.9796962516324386-0.20387328578336428j),0j
6.9217098708978595,(1.033133423844454-1.5564320043718631j),0j
6.9540543095469145,(1.1190791942217744-0.9685111568165365j),0j
6.98639874819597,(0.7264273499193892-1.5365821622753615j),0j
7.018743186845025,(0.3110810099648429-0.5908394354913953j),0j
7.05108762549408,(1.0351834784855443+0.015819746861915007j),0j
7.083432064143136,(1.091228558539847-0.3087629852340573j),0j
7.115776502792191,(1.647294439930152-0.6871295888667115j),0j
7.148120941441247,(1.1974601519081685-1.5798901557638658j),0j
7.180465380090302,(1.0796771782802077-0.25008882463087323j),0j
7.212809818739358,(1.024072517941316-0.8877031613924962j),0j
7.245154257388413,(0.6999609865230587+0.08039221368369498j),0j
7.277498696037469,(2.0191939653129882-0.4121372311667166j),0j
7.309843134686524,(0.917019498509371-1.5514021462946297j),0j
7.34218757333558,(0.2944998579049969-0.9020310399278171j),0j
7.374532011984635,(1.3744624598075625+0.19259205877019303j),0j
7.406876450633691,(1.1251820098763976-0.2836568833163895j),0j
7.439220889282746,(1.8291733821041416-0.1344947386872395j),0j
7.471565327931801,(2.498005179384104-1.2241081314036073j),0j
7.503909766580857,(1.0033067482485263-2.210602447718093j),0j
7.536254205229912,(-0.1275404716286701-0.5575741155729848j),0j
7.568598643878968,(1.4491207358433442-0.5175762350482138j),0j
7.600943082528023,(0.1493965328772191-0.13243477612422971j),0j
7.6332875211770785,(1.953954447096569-0.5026612479244426j),0j
7.6656319598261335,(1.3182399825395663-0.9413558151336208j),0j
7.697976398475189,(1.4609471846243531-0.8120319663167166j),0j
7.7303208371242444,(0.4835713644776365-0.3306354221203449j),0j
7.7626652757733,(1.0942750546925986+0.30784986250415614j),0j
7.795009714422355,(1.0578489855937363-0.4563436937962351j),0j
7.827354153071411,(1.1847123453784079-0.08274734111663662j),0j
7.859698591720466,(1.829200495186278-0.2811671619934186j),0j
7.892043030369521,(1.3574999014144637-0.4002721411938559j),0j
7.924387469018577,(1.0288015547085028-0.7783732018477139j),0j
7.956731907667632,(1.0464572863188843+0.19422636827966144j),0j
7.989076346316688,(1.9592821242198335-1.2672033306167254j),0j
8.021420784965743,(1.1024556060206159-0.5976824822185263j),0j
8.053765223614798,(1.8386136125782429-0.863772298986361j),0j
8.086109662263855,(0.7956341410972012-1.3744041649663998j),0j
8.11845410091291,(0.07033948695923975+0.2928947092087757j),0j
8.150798539561965,(0.5359052515108598+0.44744591134913136j),0j
8.18314297821102,(2.2178141283721935+0.4477959007190524j),0j
8.215487416860077,(2.217895883564781+0.028586630858659978j),0j
8.247831855509132,(1.8718469794494315-1.2636116980632925j),0j
8.280176294158187,(1.5192017296773157-0.5269760749832795j),0j
8.312520732807242,(1.0504704861791585-0.026866707565196712j),0j
8.344865171456297,(1.3887400392450755-0.47273406941447504j),0j
8.377209610105353,(1.5953777738077175-0.43880470545488715j),0j
8.409554048754408,(1.3243491912697167-0.6181286353224422j),0j
8.441898487403463,(0.19742018372106163-0.8380767306071593j),0j
8.474242926052518,(0.9324504372832108+0.42999539599397407j),0j
8.506587364701575,(1.5364172118343955-0.26997185381411004j),0j
8.53893180335063,(0.658895309872976-0.5205984002971489j),0j
8.571276241999685,(1.4840359729163088+0.33536656280695176j),0j
8.60362068064874,(1.0161998548330424+0.3180981854289513j),0j
8.635965119297797,(1.5692510947165679-0.40677774937352584j),0j
8.668309557946852,(1.5966617370472296+0.8447164143857195j),0j
8.700653996595907,(1.8674381385314383-0.2456602257221694j),0j
8.732998435244962,(1.8850589515743397-0.13140102077869775j),0j
8.765342873894017,(1.5512034537700652+0.2988401425174576j),0j
8.797687312543074,(1.913298634063163-0.94204125515102j),0j
8.830031751192129,(1.2541488903579197-0.9380439503123481j),0j
8.862376189841184,(0.5055717491759131-0.35176087982650023j),0j
